title,skills,level,rating,platform,combined_features
Introduction to Working Capital Management,This course provides a comprehensive analysis on how to manage working capital.,Intermediate,4.0,Udemy,Introduction to Working Capital Management This course provides a comprehensive analysis on how to manage working capital. Intermediate
Developing Single Page Applications,From HTML To Ruby On Rails To React.js,Intermediate,4.3,Udemy,Developing Single Page Applications From HTML To Ruby On Rails To React.js Intermediate
Web Scraping  for  Beginners with : Python | Scrapy| BS4,Learn how to extract data from websites using  : Python | Scrapy   and BeautifulSoup,Beginner,3.6,Udemy,Web Scraping  for  Beginners with : Python | Scrapy| BS4 Learn how to extract data from websites using  : Python | Scrapy   and BeautifulSoup Beginner
ISO/IEC 27002:2022. Information security controls,Learn about the comprehensive set of information security controls proposed by ISO/IEC 27002:2022,Intermediate,4.6,Udemy,ISO/IEC 27002:2022. Information security controls Learn about the comprehensive set of information security controls proposed by ISO/IEC 27002:2022 All Levels
Image Processing and Computer Vision with Python & OpenCV,Learn Image Processing and Computer Vision from AI (ML & DL) professional,Intermediate,3.5,Udemy,Image Processing and Computer Vision with Python & OpenCV Learn Image Processing and Computer Vision from AI (ML & DL) professional All Levels
Instagram Marketing Course: From 0-10k Instagram Followers,Grow Your Instagram Following from Scratch | Convert Followers Into Sales | Expand Your Brand Using Instagram Marketing,Beginner,4.2,Udemy,Instagram Marketing Course: From 0-10k Instagram Followers Grow Your Instagram Following from Scratch | Convert Followers Into Sales | Expand Your Brand Using Instagram Marketing Beginner
(Oxford) Diploma in : Global Economics (+ the Great Reset! ),Global Economics - for all. (Comes with booklet),Intermediate,4.5,Udemy,(Oxford) Diploma in : Global Economics (+ the Great Reset! ) Global Economics - for all. (Comes with booklet) All Levels
Great Customer Service with Emotional Intelligence,Take your business to the next level by building a Customer Service Culture based on Emotional Intelligence.,Beginner,4.5,Udemy,Great Customer Service with Emotional Intelligence Take your business to the next level by building a Customer Service Culture based on Emotional Intelligence. Beginner
How to Hack WiFi Networks for Beginners,"Learn how to Hack WiFi Networks (WEP, WPA, WPA2).",Beginner,4.1,Udemy,"How to Hack WiFi Networks for Beginners Learn how to Hack WiFi Networks (WEP, WPA, WPA2). Beginner"
Refactoring to Design Patterns by Example,Improving internal design of an existing application with refactoring techniques and design patterns in C#,Intermediate,4.5,Udemy,Refactoring to Design Patterns by Example Improving internal design of an existing application with refactoring techniques and design patterns in C# Intermediate
Create a WordPress website with Hostinger!,Build your own WordPress website in a few steps. Use Hostinger to get a domain name and hosting at an affordable price.,Beginner,4.4,Udemy,Create a WordPress website with Hostinger! Build your own WordPress website in a few steps. Use Hostinger to get a domain name and hosting at an affordable price. Beginner
Microsoft Office 2016 Essential Training: 9 Course Bundle,"Comprehensive, all-in-one training to get the most out of Microsoft Office 2016. 9-in-1 courses with 70 hours of video.",Intermediate,4.5,Udemy,"Microsoft Office 2016 Essential Training: 9 Course Bundle Comprehensive, all-in-one training to get the most out of Microsoft Office 2016. 9-in-1 courses with 70 hours of video. All Levels"
Program Management Course - Program Manager Essentials,In this Program Management course you will learn the  essentials and more to become an effective Program Manager,Intermediate,4.4,Udemy,Program Management Course - Program Manager Essentials In this Program Management course you will learn the  essentials and more to become an effective Program Manager All Levels
Microsoft Windows Server 2012 Certification - Exam 70-410 ,"Gain Either MCSA or MCSE Status, This Course Covers Everything You Need To Pass The Microsoft Exam 70-410",Intermediate,4.1,Udemy,"Microsoft Windows Server 2012 Certification - Exam 70-410  Gain Either MCSA or MCSE Status, This Course Covers Everything You Need To Pass The Microsoft Exam 70-410 All Levels"
CCNA 200-301 Video Boot Camp with Chris Bryant,"Over 30 Hours Of Lab-Packed, Fully Downloadable Videos On Every Subject On The CCNA 200-301 Exam!",Beginner,4.7,Udemy,"CCNA 200-301 Video Boot Camp with Chris Bryant Over 30 Hours Of Lab-Packed, Fully Downloadable Videos On Every Subject On The CCNA 200-301 Exam! Beginner"
Complete Guide to Unit Testing in .NET Core (NUnit & XUnit),"Master unit testing with NUnit, XUnit and MOQ with a real world N-Tier web application (.NET Core 6 and EF Core)",Beginner,4.5,Udemy,"Complete Guide to Unit Testing in .NET Core (NUnit & XUnit) Master unit testing with NUnit, XUnit and MOQ with a real world N-Tier web application (.NET Core 6 and EF Core) Beginner"
Java Programming - For School Kids,Everything a school kid need to know to get started with Programming in Java,Beginner,4.3,Udemy,Java Programming - For School Kids Everything a school kid need to know to get started with Programming in Java Beginner
4 Strategies that Will Make you a Professional Day Trader,"Learn how to analyze gaps, breakouts, candle patterns while also discovering where to enter, exit and place stops.",Intermediate,4.2,Udemy,"4 Strategies that Will Make you a Professional Day Trader Learn how to analyze gaps, breakouts, candle patterns while also discovering where to enter, exit and place stops. Intermediate"
Learn Web Scraping with Node.js,Use the Node modules Request and Cheerio to scrape data and display on a web page.,Intermediate,3.8,Udemy,Learn Web Scraping with Node.js Use the Node modules Request and Cheerio to scrape data and display on a web page. All Levels
Gua Sha- Tool Assisted Technique Certificate Course (3 CEU),"Gua Sha Massage-Learn how to treat your own pain, your family or your massage clients with this amazing technique !",Intermediate,4.7,Udemy,"Gua Sha- Tool Assisted Technique Certificate Course (3 CEU) Gua Sha Massage-Learn how to treat your own pain, your family or your massage clients with this amazing technique ! All Levels"
Introduction to Corporate Finance,"{"" Accounting"","" Budget Management"","" Finance"","" General Accounting"","" Business Analysis"","" Data Analysis"","" Decision Making"","" Entrepreneurship"","" Mathematical Theory & Analysis"","" Strategy and Operations""}",Intermediate,4.6,Coursera,"Introduction to Corporate Finance {"" Accounting"","" Budget Management"","" Finance"","" General Accounting"","" Business Analysis"","" Data Analysis"","" Decision Making"","" Entrepreneurship"","" Mathematical Theory & Analysis"","" Strategy and Operations""} Mixed "
"U.S. Political Institutions:Congress, Presidency,Courts, and Bureaucracy",Foreign Policies,Beginner,0.0,edX,"U.S. Political Institutions:Congress, Presidency,Courts, and Bureaucracy Foreign Policies Introductory"
"iOS 13 Online Shop Application, Build e-Market, for sale","xCode 11, Swift 5 iOS13 tutorial, build e-shop application, Firestore, Algolia, Stripe Payment,  lear iOS 13 & swift5",Intermediate,4.1,Udemy,"iOS 13 Online Shop Application, Build e-Market, for sale xCode 11, Swift 5 iOS13 tutorial, build e-shop application, Firestore, Algolia, Stripe Payment,  lear iOS 13 & swift5 Intermediate"
"Web Development Basics: Learn HTML, CSS and Javascript","Best course to learn HTML, CSS and Javascript",Beginner,3.7,Udemy,"Web Development Basics: Learn HTML, CSS and Javascript Best course to learn HTML, CSS and Javascript Beginner"
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,"Learn How to Start a Hedge Fund Incubator for Stock Trading by Quant Trader, Yale Grad, Worked @ Investment Bank",Advanced,4.4,Udemy,"Learn How to Set Up an Incubator Hedge Fund - Step-by-Step Learn How to Start a Hedge Fund Incubator for Stock Trading by Quant Trader, Yale Grad, Worked @ Investment Bank Expert"
Complete Data Science Training with Python for Data Analysis,Beginners python data analytics : Data science introduction : Learn data science : Python data analysis methods tutorial,Intermediate,4.5,Udemy,Complete Data Science Training with Python for Data Analysis Beginners python data analytics : Data science introduction : Learn data science : Python data analysis methods tutorial All Levels
VB .NET Mastering: Beginner to Advance with Projects,Mastering VB .NET: From Beginner to Advance with Multiple Coding Examples and Projects,Intermediate,4.4,Udemy,VB .NET Mastering: Beginner to Advance with Projects Mastering VB .NET: From Beginner to Advance with Multiple Coding Examples and Projects All Levels
Python Django Web Development: To-Do App,Learn Database Driven Web Development With Django and Python!,Beginner,4.2,Udemy,Python Django Web Development: To-Do App Learn Database Driven Web Development With Django and Python! Beginner
SQL for Newcomers - The Full Mastery Course,A course to make you an SQL genius!,Beginner,4.5,Udemy,SQL for Newcomers - The Full Mastery Course A course to make you an SQL genius! Beginner
Ultimate Beginner Guitar Masterclass,"Beginner Guitar Lessons: Learn Acoustic Guitar, Blues Guitar, Basic Fingerstyle Guitar, Guitar Chords, Guitar Technique",Beginner,4.8,Udemy,"Ultimate Beginner Guitar Masterclass Beginner Guitar Lessons: Learn Acoustic Guitar, Blues Guitar, Basic Fingerstyle Guitar, Guitar Chords, Guitar Technique Beginner"
"Bitcoin 101 - Complete Intro to Bitcoin, Blockchain & Crypto","A Complete Thesis On The Bullish Case For Bitcoin, Blockchain & Cryptocurrency",Beginner,4.1,Udemy,"Bitcoin 101 - Complete Intro to Bitcoin, Blockchain & Crypto A Complete Thesis On The Bullish Case For Bitcoin, Blockchain & Cryptocurrency Beginner"
How To Start Your Own Freelance Copywriting Business,Learn step-by-step how to charge high hourly rate while working anywhere with your own freelance copywriting business!,Beginner,4.0,Udemy,How To Start Your Own Freelance Copywriting Business Learn step-by-step how to charge high hourly rate while working anywhere with your own freelance copywriting business! Beginner
Emotional Intelligence: The Complete Masterclass ®,Achieve Your Emotional Intelligence Break-Through And Learn How To Control Your Mind Once And For All,Intermediate,4.5,Udemy,Emotional Intelligence: The Complete Masterclass ® Achieve Your Emotional Intelligence Break-Through And Learn How To Control Your Mind Once And For All All Levels
Learn Profit by Real Ways in Nasdaq Trading+Ethereum+Bitcoin,The Ultimate Forex Trading Profit - How I Earn Profit by Unique Ways & Without Loss by Nasdaq Trading+Ethereum+Bitcoin,Intermediate,5.0,Udemy,Learn Profit by Real Ways in Nasdaq Trading+Ethereum+Bitcoin The Ultimate Forex Trading Profit - How I Earn Profit by Unique Ways & Without Loss by Nasdaq Trading+Ethereum+Bitcoin All Levels
Microsoft Dynamics 365 & PowerApps Developer Course - Part 2,"Learn Model-driven app client-side development using Client API, JavaScript, HTML Web Resources & Web API.",Intermediate,4.6,Udemy,"Microsoft Dynamics 365 & PowerApps Developer Course - Part 2 Learn Model-driven app client-side development using Client API, JavaScript, HTML Web Resources & Web API. All Levels"
Programming Fundamentals + Python 3 Cram Course in 7 Days™,Learn in 7 DAYS the language of the developers and be able to understand and write easily to every programming language!,Intermediate,4.6,Udemy,Programming Fundamentals + Python 3 Cram Course in 7 Days™ Learn in 7 DAYS the language of the developers and be able to understand and write easily to every programming language! All Levels
Hotel Management - Concepts of Budgeting & Forecasting,Revenue & Expense Budgets and Capital Budgeting. Case Study is Hotel Management with universal principals,Intermediate,4.1,Udemy,Hotel Management - Concepts of Budgeting & Forecasting Revenue & Expense Budgets and Capital Budgeting. Case Study is Hotel Management with universal principals Intermediate
"How to Ask Powerful, Emotionally Engaging Questions","Master the science of asking smart, shrewd questions that unlock the mind and motives of you customers to create sales.",Intermediate,4.4,Udemy,"How to Ask Powerful, Emotionally Engaging Questions Master the science of asking smart, shrewd questions that unlock the mind and motives of you customers to create sales. All Levels"
PHPUnit - Unit & Selenium Testing For PHP Developers,Includes Test-Driven Development (TDD) by creating real life app with PHP & PHPUnit and Selenium acceptance testing,Intermediate,3.8,Udemy,PHPUnit - Unit & Selenium Testing For PHP Developers Includes Test-Driven Development (TDD) by creating real life app with PHP & PHPUnit and Selenium acceptance testing All Levels
The Actuarial Science Collection,By MJ the Student Actuary,Beginner,4.2,Udemy,The Actuarial Science Collection By MJ the Student Actuary Beginner
Debt Collections for All Lenders: Lessons from Credit Cards,Master Delinquency Management: Boost Collections with Proven Strategies,Intermediate,4.4,Udemy,Debt Collections for All Lenders: Lessons from Credit Cards Master Delinquency Management: Boost Collections with Proven Strategies All Levels
Develop Blockbuster Story Ideas that Sell! (Writing Mastery),"Proven methods to unleash your creativity and brainstorm bestselling, high concept book and movie ideas",Intermediate,4.6,Udemy,"Develop Blockbuster Story Ideas that Sell! (Writing Mastery) Proven methods to unleash your creativity and brainstorm bestselling, high concept book and movie ideas All Levels"
JavaScript Wizardry: The Basics Unveiled,Master the Power of JavaScript in under 10 hrs: Mastering the Inner Workings for Javascript : ChatGPT : HTML : CSS,Intermediate,4.7,Udemy,JavaScript Wizardry: The Basics Unveiled Master the Power of JavaScript in under 10 hrs: Mastering the Inner Workings for Javascript : ChatGPT : HTML : CSS All Levels
98-361: Software Development Fundamentals (using C#),"Learn C#, Web and Desktop applications, and databases. 98-361 (C# version).",Beginner,4.6,Udemy,"98-361: Software Development Fundamentals (using C#) Learn C#, Web and Desktop applications, and databases. 98-361 (C# version). Beginner"
Working with Concurrency in Go (Golang),Learn the advantages and pitfalls of concurrent programming with the Go programming language,Intermediate,4.7,Udemy,Working with Concurrency in Go (Golang) Learn the advantages and pitfalls of concurrent programming with the Go programming language Intermediate
Fiction Writing: A Complete Novel Outline Chapter by Chapter,A Bestselling Course - Learn this Hollywood secret and complete a comprehensive novel outline in as little as 2 weeks!,Intermediate,4.6,Udemy,Fiction Writing: A Complete Novel Outline Chapter by Chapter A Bestselling Course - Learn this Hollywood secret and complete a comprehensive novel outline in as little as 2 weeks! All Levels
The Complete Power BI Practical Course 2023,Power BI: Jump start your career as Power BI developer,Intermediate,4.6,Udemy,The Complete Power BI Practical Course 2023 Power BI: Jump start your career as Power BI developer All Levels
